usergengenseek,zipcode,useremail,userpassword,userbirthmonth,userbirthday,userbirthyear,userfirstname,userlastname
2,75214,testemail1,thisistestpass1,9,2,1987,aaron,lastname
1,75214,testemail2,thisistestpass2,1,1,1988,barry,lastname
3,75214,testemail3,thisistestpass3,2,3,1989,chris,lastname
4,75214,testemail4,thisistestpass4,3,4,1990,david,lastname
2,75214,testemail5,thisistestpass5,4,5,1991,edward,lastname
1,75214,testemail6,thisistestpass6,5,6,1981,frank,lastname
3,75214,testemail7,thisistestpass7,6,7,1982,george,lastname
4,75214,testemail8,thisistestpass8,7,8,1984,harry,lastname
2,75214,testemail9,thisistestpass9,8,9,1983,ian,lastname
1,75214,testemail10,thisistestpass10,10,10,198,james,lastname
